Theta_deg,Bx,By,Cx,Cy,Ex,Ey,Fx,Fy,Hx,Hy,FAx,FAy,FBx,FBy,FCx,FCy,FDx,FDy,FEx,FEy,FFx,FFy,FGx,FGy,InputTorque
0,5,16,25,25,18,35,43,32,44,24.5,3.86096311672337,170.340963212824,-3.86096311672337,-72.2409632128236,16.2067875607834,72.5009067058756,16.2067875607834,170.600906705876,-20.0677506775068,-46.6418699186992,-20.0677506775068,51.4581300813008,-20.0677506775068,249.558130081301,-288.913483826328
1,4.79087573243982,15.9632675290021,24.760728106083,25.0299646219294,17.7273934821287,35.0065474070059,42.7217971972469,31.960273793936,43.8608985986235,24.480136896968,9.24827565338609,174.284886789644,-9.24827565338609,-76.1848867896435,13.7314142086914,68.1643893498775,13.7314142086914,166.264389349877,-22.9796898620775,-46.249276139521,-22.9796898620775,51.850723860479,-22.9796898620775,249.950723860479,-387.299023375569
2,4.5824243855318,15.9228909308241,24.5219845536265,25.0560141810016,17.4554784762846,35.0091288622907,42.4440441185272,31.9153306879856,43.7220220592636,24.4576653439928,14.5201929812605,178.227948345854,-14.5201929812605,-80.1279483458541,11.4089897709904,63.8117970357485,11.4089897709904,161.911797035749,-25.9291827522509,-45.8397453816026,-25.9291827522509,52.2602546183974,-25.9291827522509,250.360254618397,-485.420135058057
3,4.37470945557553,15.878882504569,24.2838216598216,25.0781896110167,17.1842928049192,35.0077762105891,42.1667650735708,31.8651532064645,43.5833825367854,24.4325766032322,19.6834514578239,182.173571819042,-19.6834514578239,-84.0735718190424,9.23716828594715,59.4384133390734,9.23716828594715,157.538413339073,-28.920619743771,-45.4119851581157,-28.920619743771,52.6880148418843,-28.920619743771,250.788014841884,-583.305461488422
4,4.16779421455085,15.8312556556296,24.0462915673806,25.0965318519198,16.9138747123582,35.0025214443932,41.8899836399026,31.8097197218559,43.4449918199513,24.4048598609279,24.7445928182921,186.125311845527,-24.7445928182921,-88.0253118455267,7.21408938610775,55.0392745342716,7.21408938610775,153.139274534272,-31.9586822043998,-44.9645863797983,-31.9586822043998,53.1354136202017,-31.9586822043998,251.235413620202,-680.985094978818
5,3.96174169084461,15.7800248916056,23.8094462107326,25.1110819212898,16.6442627911872,34.9933967596397,41.6137224736886,31.7490041872256,43.3068612368443,24.3745020936128,29.7100050046093,190.086880497261,-29.7100050046093,-91.9868804972615,5.33838036827912,50.6091274410442,5.33838036827912,148.709127441044,-35.0483853728884,-44.4960079383057,-35.0483853728884,53.6039920616943,-35.0483853728884,251.703992061694,-778.491072552186
6,3.75661465005161,15.725205817884,23.5733372828655,25.1218809795632,16.3754959124657,34.9804346060624,41.33800310861,31.6829758144407,43.169001554305,24.3414879072203,34.5859636722597,194.062177439224,-34.5859636722597,-95.9621774392238,3.60916353267008,46.142381531581,3.60916353267008,144.242381531581,-38.1951272049297,-44.0045589708048,-38.1951272049297,54.0954410291952,-38.1951272049297,252.195441029195,-875.857914337597
7,3.55247557585559,15.6668151328856,23.3380162027766,25.1289703895097,16.1076131594539,34.9636677326469,41.0628457399351,31.6115986918767,43.0314228699676,24.3057993459384,39.3786750965928,198.055324206694,-39.3786750965928,-99.9553242066941,2.02606924533341,41.6330541493492,2.02606924533341,139.733054149349,-41.4047443419262,-43.4883783560434,-41.4047443419262,54.6116216439566,-41.4047443419262,252.711621643957,-973.123217060048
8,3.34938665099607,15.6048706229787,23.1035340834977,25.1323917704226,15.8406537645729,34.9431292285842,40.7882689904974,31.5348313338543,42.8941344952487,24.2674156669272,44.0943212932699,202.070703452981,-44.0943212932699,-103.970703452981,0.589255339574389,37.0747074395014,0.589255339574389,135.174707439501,-44.6835766328442,-42.9454108924822,-44.6835766328442,55.1545891075178,-44.6835766328442,253.254589107518,-1070.32831651587
9,3.14740973832695,15.5393911570612,22.8699417006661,25.1321870474421,15.5746570493415,34.9188525600745,40.5142896546952,31.4526261522958,42.7571448273476,24.2263130761479,48.7391082937559,206.113004209133,-48.7391082937559,-108.013004209133,-0.700566332742387,32.4603752739833,-0.700566332742387,130.560375273983,-48.0385419610135,-42.3733794831163,-48.0385419610135,55.7266205168837,-48.0385419610135,253.826620516884,-1167.51903573323
